gcodein,mcu_awake,mcu_task_avg,mcu_task_stddev,bytes_write,bytes_read,bytes_retransmit,bytes_invalid,send_seq,receive_seq,retransmit_seq,srtt,rttvar,rto,ready_bytes,upcoming_bytes,freq,sd_pos,heater_bed_target,temp,pwm,sysload,cputime,memavail,print_time,buffer_time
0,0.003,1.3e-05,8e-06,4330407,2224814,9,0,123174,123173,2,0.004,0.001,0.025,0,45,71998624,321,60,57.0,0.0,0.04,175.882,3421720,6966.271,0.182
0,0.003,1.3e-05,8e-06,4330560,2225093,9,0,123185,123184,2,0.004,0.001,0.025,0,45,71998623,321,60,57.0,1.0,0.04,175.904,3421776,6967.271,0.182
0,0.003,1.3e-05,8e-06,4330693,2225362,9,0,123194,123193,2,0.004,0.001,0.025,0,45,71998623,321,60,57.0,1.0,0.04,175.924,3421776,6968.272,0.182
0,0.003,1.3e-05,8e-06,4330836,2225630,9,0,123203,123202,2,0.004,0.001,0.025,0,45,71998624,321,60,57.0,1.0,0.04,175.945,3421776,6969.273,0.182
0,0.003,1.3e-05,8e-06,4330941,2225894,9,0,123211,123210,2,0.004,0.001,0.025,0,45,71998624,321,60,57.0,1.0,0.04,175.966,3421776,6970.275,0.183
0,0.003,1.3e-05,8e-06,4331079,2226182,9,0,123221,123220,2,0.004,0.001,0.025,0,45,71998625,321,60,57.1,1.0,0.04,175.987,3421776,6971.273,0.181
0,0.003,1.3e-05,8e-06,4331211,2226450,9,0,123230,123229,2,0.004,0.001,0.025,0,45,71998624,321,60,57.2,1.0,0.04,176.008,3421776,6972.274,0.181
0,0.003,1.3e-05,8e-06,4331348,2226724,9,0,123240,123239,2,0.004,0.001,0.025,0,45,71998622,321,60,57.3,1.0,0.04,176.029,3421776,6973.275,0.181
0,0.003,1.3e-05,8e-06,4331485,2226998,9,0,123250,123249,2,0.003,0.001,0.025,0,45,71998621,321,60,57.5,1.0,0.04,176.05,3421776,6974.276,0.181
0,0.003,1.3e-05,8e-06,4331643,2227271,9,0,123260,123259,2,0.003,0.001,0.025,0,45,71998620,321,60,57.6,1.0,0.04,176.072,3421776,6975.277,0.181
0,0.003,1.3e-05,7e-06,4331765,2227554,9,0,123269,123268,2,0.004,0.001,0.025,0,45,71998619,321,60,57.7,1.0,0.04,176.093,3421524,6976.277,0.181
0,0.003,1.3e-05,7e-06,4331902,2227828,9,0,123279,123278,2,0.004,0.001,0.025,0,45,71998618,321,60,57.9,1.0,0.04,176.114,3421524,6977.278,0.181
0,0.003,1.3e-05,7e-06,4332044,2228096,9,0,123288,123287,2,0.004,0.001,0.025,0,45,71998618,321,60,58.0,1.0,0.03,176.136,3421524,6978.279,0.181
0,0.003,1.3e-05,7e-06,4332196,2228365,9,0,123299,123298,2,0.004,0.001,0.025,0,45,71998622,321,60,58.2,1.0,0.03,176.158,3421524,6979.28,0.182
0,0.003,1.3e-05,7e-06,4332317,2228623,9,0,123308,123307,2,0.004,0.001,0.025,0,45,71998621,321,60,58.4,1.0,0.03,176.178,3421524,6980.281,0.182
0,0.003,1.2e-05,7e-06,4332442,2228889,9,0,123316,123315,2,0.004,0.001,0.025,0,45,71998620,321,60,58.5,1.0,0.03,176.199,3421524,6981.282,0.182
0,0.003,1.2e-05,7e-06,4332601,2229175,9,0,123328,123327,2,0.004,0.001,0.025,0,45,71998620,321,60,58.7,0.913,0.03,176.221,3421524,6982.283,0.183
